name,category,description
"broad-exception-catch","Error Handling","Avoid bare 'except' catching all exceptions - this hides errors and makes debugging impossible"
"empty-except-block","Error Handling","Do not silently ignore exceptions - this hides critical errors"
"catching-generic-exception","Error Handling","Avoid catching generic Exception; use specific exceptions instead"
"swallowed-exception","Error Handling","Exceptions should be logged or handled explicitly, not silently ignored"
"lost-exception-context","Error Handling","Re-raising exceptions should preserve context to maintain debugging information"
"exception-used-for-flow-control","Best Practice","Do not use exceptions for normal control flow - use conditionals instead"
"missing-from-in-raise","Error Handling","Use 'raise ... from e' to preserve original exception traceback"
"mutable-default-list-argument","Logic Error","Do not use mutable lists as default arguments - they persist across calls"
"mutable-default-dict-argument","Logic Error","Do not use mutable dicts as default arguments - they persist across calls"
"mutable-default-set-argument","Logic Error","Do not use mutable sets as default arguments - they persist across calls"
"function-call-in-default-argument","Logic Error","Default arguments should not call functions - they execute at module load time"
"index-out-of-bounds-access","Logic Error","Do not access index equal to array length - causes IndexError"
"loop-boundary-off-by-one","Logic Error","Ensure loops include all intended elements"
"string-slicing-off-by-one","Logic Error","Check slicing boundaries carefully to avoid missing or extra characters"
"binary-search-bound-error","Logic Error","High index should be len(array)-1, not len(array)"
"invalid-index-range-check","Logic Error","Upper bound should be exclusive (<), not inclusive (<=)"
"high-cyclomatic-complexity","Architecture","Function has too many nested conditions - refactor into smaller functions"
"too-many-branches","Architecture","Too many conditional branches reduce readability and maintainability"
"long-method-multiple-responsibilities","Architecture","Function does too many things - violates single responsibility principle"
"too-many-parameters","Architecture","Function has too many parameters - use config object instead"
"unused-imports","Code Style","Remove unused imports - they clutter code and slow startup"
"unused-parameters","Code Style","Function parameters should be used or removed"
"unused-variables","Code Style","Variables declared but never used should be removed"
"unreachable-code","Logic Error","Code after return/raise is never executed"
"dead-conditional-branch","Logic Error","Condition branch can never be reached due to ordering"
"unused-function","Code Style","Function defined but never used should be removed"
"commented-out-code","Code Style","Remove commented-out code instead of keeping it - use version control"
"magic-numbers","Code Style","Avoid hardcoded numeric literals - use named constants"
"hardcoded-credentials","Security","Never hardcode passwords, tokens, or secrets in source code"
"hardcoded-timeouts","Code Style","Avoid hardcoded timeout values - make them configurable"
"hardcoded-addresses","Best Practice","Do not hardcode IPs or URLs - use configuration"
"hardcoded-file-paths","Best Practice","Avoid hardcoded file system paths - use configuration"
"inconsistent-naming-conventions","Code Style","Use consistent naming style following PEP 8"
"non-descriptive-names","Code Style","Use meaningful variable/function names that describe purpose"
"too-short-variable-names","Code Style","Avoid single-letter names except for simple loop counters"
"confusing-similar-names","Code Style","Avoid similar variable names in same scope that can be confused"
"non-pep8-class-name","Naming","Class names should use CapWords/PascalCase convention"
"non-pep8-function-name","Naming","Function names should use snake_case convention"
"constant-not-uppercase","Naming","Constants should be UPPER_CASE with underscores"
"shadowing-builtins","Logic Error","Do not override built-in function names"
"nested-if-depth","Code Style","Too many nested if statements reduce readability"
"merge-nested-if","Code Style","Nested if statements with same condition can be combined"
"return-simplification","Code Style","Boolean return can be simplified to direct condition"
"duplicate-condition-check","Code Style","Same condition repeated in multiple branches should be consolidated"
"boolean-comparison-unnecessary","Code Style","Explicit True/False comparison is redundant"
"unsafe-command-execution","Security","Using shell commands with user input creates injection vulnerabilities"
"unsafe-subprocess-usage","Security","shell=True with user input allows command injection"
"unsafe-eval-usage","Security","eval() on user input executes arbitrary code"
"weak-hashing-algorithm","Security","MD5 and SHA1 are broken for security purposes"
"insecure-password-storage","Security","Plain or weakly hashed passwords are a security risk"
"insecure-random-generation","Security","random module is not suitable for security purposes"
"predictable-token-generation","Security","Time-based or sequential tokens are guessable"
"unsafe-encryption-practices","Security","ECB mode encryption is insecure - use authenticated encryption"
"insecure-comparison-logic","Security","Direct string equality for secrets is vulnerable to timing attacks"
"insecure-iv-handling","Security","Fixed or predictable IVs weaken encryption security"
