name,category,description
"Using a mutable default value as an argument","Logic Error","Passing mutable lists or dictionaries as default arguments can have unforeseen consequences. The persistent object is reused across function calls."
"No exception type(s) specified","Error Handling","Bare except clauses hide actual programming errors and lose information about the error."
"Not using with to open files","Best Practice","Without 'with', files may not be properly closed if exceptions occur, leading to memory issues or file corruption."
"Explicit return in __init__","Logic Error","__init__ should only initialize instance members, not return values."
"Indentation contains mixed spaces and tabs","Code Style","Python requires consistent indentation. Mixing spaces and tabs causes syntax errors and readability issues."
"Not using get() to return a default value from a dict","Code Style","Manual key checking is verbose. dict.get() provides cleaner default value handling."
"Bad except clauses order","Error Handling","More specific exceptions must come before base classes, otherwise they become unreachable."
"Not using defaultdict()","Code Style","Manual dictionary initialization is verbose. defaultdict provides automatic default values."
"Bad first argument to super()","Logic Error","super() requires the child class name as first argument and self as second for proper inheritance."
"Method could be a function","Code Style","Methods that don't use self or cls should be functions or static methods."
"__exit__ must accept 3 arguments: type, value, traceback","Logic Error","Context managers must implement __exit__ with all required parameters (self, exc_type, exc_value, traceback)."
"Method has no argument","Logic Error","Instance methods must include 'self' as first parameter to access instance members."
"__future__ import is not the first non-docstring statement","Best Practice","__future__ imports must be at the very top of the module to work correctly."
"Implementing Java-style getters and setters","Code Style","Python favors direct attribute access. Use properties only when computation is needed."
"Assigning to built-in function","Logic Error","Overwriting built-in functions (like list, dict) breaks functionality elsewhere."
"Accessing a protected member from outside the class","Code Style","Protected members (_prefix) are intended for internal use only and may change."
"Assigning a lambda expression to a variable","Code Style","Lambdas are for anonymous functions. Use def for named functions."
"Returning more than one variable type from function call","Maintainability","Functions should return consistent types. Use exceptions for error cases."
"using wildcard imports (from … import *)","Maintainability","Wildcard imports pollute namespace and make code hard to trace."
"Using single letter to name your variables","Readability","Single-letter variable names make code hard to understand and maintain."
"Using the global statement","Maintainability","Global variables cause bugs from multiple functions accessing shared state."
"Using CamelCase in function names","Code Style","Function names should be lowercase with underscores per PEP 8."
"Not using zip() to iterate over a pair of lists","Readability","Manual index iteration is verbose. zip() provides cleaner parallel iteration."
"Not using unpacking for updating multiple values at once","Readability","Tuple unpacking is more concise and readable."
"Test for object identity should be is","Readability","Use 'is' for None comparison, not '=='."
"Using type() to compare types","Readability","isinstance() is preferred over type() for type checking."
"Comparing things to True the wrong way","Code Style","Explicit comparison to True is redundant."
"use of exec","Security","exec() executes arbitrary strings as code and is unsafe."
"Not using dict keys when formatting strings","Readability","Using dictionary keys in format strings improves clarity."
"Using key in list to check if key is contained in list","Performance","Lists are slow for membership checks compared to sets."
"Not using items() to iterate over a dictionary","Readability","items() is more efficient and readable than key-based access."
"else clause on loop without a break statement","Logic Error","Loop else executes even if no meaningful condition was met unless controlled by break."
